,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
18486,Cuba,PWRBIO,ELC01,2041,8611.179999999998,8611179.999999998,0.45811152199140004,3944880.7759419032
18487,Cuba,PWRBIO,ELC01,2042,8611.179999999998,8611179.999999998,0.4362966876108571,3757029.3104208596
18488,Cuba,PWRBIO,ELC01,2043,8611.179999999998,8611179.999999998,0.415520654867483,3578123.1527817715
18489,Cuba,PWRBIO,ELC01,2044,8611.179999999998,8611179.999999998,0.39573395701665043,3407736.335982639
18490,Cuba,PWRBIO,ELC01,2045,8611.179999999998,8611179.999999998,0.3768894828730004,3245463.177126323
18491,Cuba,PWRBIO,ELC01,2046,8611.179999999998,8611179.999999998,0.35894236464095275,3090917.311548879
18492,Cuba,PWRBIO,ELC01,2047,8611.179999999998,8611179.999999998,0.3418498710866216,2943730.772903694
18493,Cuba,PWRBIO,ELC01,2048,8611.179999999998,8611179.999999998,0.3255713057967825,2803553.117051137
18494,Cuba,PWRBIO,ELC01,2049,8611.179999999998,8611179.999999998,0.31006791028265,2670050.5876677497
18495,Cuba,PWRBIO,ELC01,2050,8611.179999999998,8611179.999999998,0.29530277169776187,2542905.3215883323
10400,Cuba,PWRCRUD001,ELC01,2019,1726.6098127679984,1726609.8127679983,1.3400956406250002,2313822.2831507423
10401,Cuba,PWRCRUD001,ELC01,2020,1726.609812767998,1726609.8127679978,1.2762815625000004,2203640.2696673735
10402,Cuba,PWRCRUD001,ELC01,2021,1726.6098127679993,1726609.8127679992,1.2155062500000002,2098705.018730833
10403,Cuba,PWRCRUD001,ELC01,2022,1726.6098127679982,1726609.812767998,1.1576250000000001,1998766.684505554
10404,Cuba,PWRCRUD001,ELC01,2023,1726.6098127679988,1726609.8127679988,1.1025,1903587.3185767187
10405,Cuba,PWRCRUD001,ELC01,2024,1726.6098127679984,1726609.8127679983,1.05,1812940.3034063983
11072,Cuba,PWRCRUD002,ELC01,2019,278.5702285439998,278570.2285439998,1.3400956406250002,373310.7488797241
11073,Cuba,PWRCRUD002,ELC01,2020,278.57022854399975,278570.2285439997,1.2762815625000004,355534.04655211815
