REGION,FUEL,YEAR,value
Cuba,AUXFUEL05,2027,23.7300077502994
Cuba,AUXFUEL05,2028,23.9688578876911
Cuba,AUXFUEL05,2029,24.2196857605862
Cuba,AUXFUEL05,2030,24.473331924188
Cuba,AUXFUEL05,2031,24.7269780877898
Cuba,AUXFUEL05,2032,24.9911928415416
Cuba,AUXFUEL05,2033,25.2483618685267
Cuba,AUXFUEL05,2034,25.516099485662
Cuba,AUXFUEL05,2035,25.7803142394138
Cuba,AUXFUEL05,2036,26.0550975833157
Cuba,AUXFUEL05,2037,26.3228352004509
Cuba,AUXFUEL05,2038,26.6046642711196
Cuba,AUXFUEL05,2039,26.8794476150215
Cuba,AUXFUEL05,2040,27.1612766856901
Cuba,AUXFUEL05,2041,27.4501514831255
Cuba,AUXFUEL05,2042,27.7386739942225
Cuba,AUXFUEL05,2043,28.0314239413796
Cuba,AUXFUEL05,2044,28.3202987388149
Cuba,AUXFUEL05,2045,28.6179806947087
Cuba,AUXFUEL05,2046,28.9191855139858
Cuba,AUXFUEL05,2047,29.2256746283379
Cuba,AUXFUEL05,2048,29.5286408793067
Cuba,AUXFUEL05,2049,29.8386528570422
Cuba,AUXFUEL05,2050,30.1557105615444
Cuba,AUXFUEL05,2051,30.4572676671599
Cuba,AUXFUEL05,2052,30.7618403438315
Cuba,AUXFUEL05,2053,31.0694587472698
Cuba,AUXFUEL05,2054,31.3801533347425
Cuba,AUXFUEL05,2055,31.6939548680899
Cuba,AUXFUEL06,2019,21.7712957091524
Cuba,AUXFUEL06,2020,22.7143662368773
Cuba,AUXFUEL06,2021,22.8239272880998
Cuba,AUXFUEL06,2022,23.1804410624956
Cuba,AUXFUEL06,2023,23.1804410624956
Cuba,AUXFUEL06,2024,23.1804410624956
Cuba,AUXFUEL06,2025,23.1804410624956
Cuba,AUXFUEL06,2026,23.469315859931
Cuba,AUXFUEL06,2027,23.7300077502994
Cuba,AUXFUEL06,2028,23.9688578876911
Cuba,AUXFUEL06,2029,24.2196857605862
Cuba,AUXFUEL06,2030,24.473331924188
Cuba,AUXFUEL06,2031,24.7269780877898
Cuba,AUXFUEL06,2032,24.9911928415416
Cuba,AUXFUEL06,2033,25.2483618685267
Cuba,AUXFUEL06,2034,25.516099485662
Cuba,AUXFUEL06,2035,25.7803142394138
Cuba,AUXFUEL06,2036,26.0550975833157
Cuba,AUXFUEL06,2037,26.3228352004509
Cuba,AUXFUEL06,2038,26.6046642711196
Cuba,AUXFUEL06,2039,26.8794476150215
Cuba,AUXFUEL06,2040,27.1612766856901
Cuba,AUXFUEL06,2041,27.4501514831255
Cuba,AUXFUEL06,2042,27.7386739942225
Cuba,AUXFUEL06,2043,28.0314239413796
Cuba,AUXFUEL06,2044,28.3202987388149
Cuba,AUXFUEL06,2045,28.6179806947087
Cuba,AUXFUEL06,2046,28.9191855139858
Cuba,AUXFUEL06,2047,29.2256746283379
Cuba,AUXFUEL06,2048,29.5286408793067
Cuba,AUXFUEL06,2049,29.8386528570422
Cuba,AUXFUEL06,2050,30.1557105615444
Cuba,AUXFUEL06,2051,30.4572676671599
Cuba,AUXFUEL06,2052,30.7618403438315
Cuba,AUXFUEL06,2053,31.0694587472698
Cuba,AUXFUEL06,2054,31.3801533347425
Cuba,AUXFUEL06,2055,31.6939548680899
