REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,value
Atlantis,ID,HF_Imp,1,EL_Transmission,2031,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2032,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2033,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2034,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2035,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2036,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2037,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2038,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2039,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2040,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2014,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2015,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2016,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2017,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2018,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2019,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2020,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2021,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2022,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2023,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2024,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2025,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2026,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2027,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2028,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2029,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2030,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2031,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2032,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2033,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2034,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2035,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2036,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2037,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2038,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2039,0.0
Atlantis,ID,HF_Imp,1,EL_Distribution,2040,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2014,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2015,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2016,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2017,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2018,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2019,0.0
Atlantis,ID,HF_Imp,1,EL_Industry,2020,0.0
