REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Atlantis,HYDRO_DAM,1,2018,3.8815477025480245
Atlantis,HYDRO_DAM,1,2019,3.3328213025480244
Atlantis,HYDRO_DAM,1,2020,3.3328213025480244
Atlantis,HYDRO_DAM,1,2021,3.3328213025480244
Atlantis,HYDRO_DAM,1,2022,3.4823944702939977
Atlantis,HYDRO_DAM,1,2023,3.749226634440535
Atlantis,HYDRO_DAM,1,2024,3.931536341585031
Atlantis,HYDRO_DAM,1,2025,3.931536341585031
Atlantis,HYDRO_DAM,1,2026,3.931536341585031
Atlantis,HYDRO_DAM,1,2027,3.931536341585031
Atlantis,HYDRO_DAM,1,2028,4.094880820150678
Atlantis,HYDRO_DAM,1,2029,4.094880820150678
Atlantis,HYDRO_DAM,1,2030,4.094880820150678
Atlantis,HYDRO_DAM,1,2031,4.094880820150678
Atlantis,HYDRO_DAM,1,2032,4.094880820150678
Atlantis,HYDRO_DAM,1,2033,4.247398790442168
Atlantis,HYDRO_DAM,1,2034,4.487768087029514
Atlantis,HYDRO_DAM,1,2035,4.732438117160973
Atlantis,HYDRO_DAM,1,2036,4.988108768514832
Atlantis,HYDRO_DAM,1,2037,5.257883875802692
Atlantis,HYDRO_DAM,1,2038,5.541550439959896
Atlantis,HYDRO_DAM,1,2039,5.839321460051102
Atlantis,HYDRO_DAM,1,2040,6.15239383490882
Atlantis,HYDRO_MIN,1,2014,0.141912
Atlantis,HYDRO_MIN,1,2015,0.141912
Atlantis,HYDRO_MIN,1,2016,0.141912
Atlantis,HYDRO_MIN,1,2017,0.141912
Atlantis,HYDRO_MIN,1,2018,0.141912
Atlantis,HYDRO_MIN,1,2019,0.0
Atlantis,HYDRO_MIN,1,2020,0.0
Atlantis,HYDRO_MIN,1,2021,0.0
Atlantis,HYDRO_MIN,1,2022,0.0
Atlantis,HYDRO_MIN,1,2023,0.0
Atlantis,HYDRO_MIN,1,2024,0.0
Atlantis,HYDRO_MIN,1,2025,0.0
Atlantis,HYDRO_MIN,1,2026,0.0
Atlantis,HYDRO_MIN,1,2027,0.0
Atlantis,HYDRO_MIN,1,2028,0.0
Atlantis,HYDRO_MIN,1,2029,0.0
Atlantis,HYDRO_MIN,1,2030,0.0
Atlantis,HYDRO_MIN,1,2031,0.0
Atlantis,HYDRO_MIN,1,2032,0.0
Atlantis,HYDRO_MIN,1,2033,0.0
Atlantis,HYDRO_MIN,1,2034,0.0
Atlantis,HYDRO_MIN,1,2035,0.0
Atlantis,HYDRO_MIN,1,2036,0.0
Atlantis,HYDRO_MIN,1,2037,0.0
