REGION,REGION,TIMESLICE,FUEL,YEAR,value
Atlantis,Atlantis,ID,NG,2020,0.0
Atlantis,Atlantis,ID,NG,2021,0.0
Atlantis,Atlantis,ID,NG,2022,0.0
Atlantis,Atlantis,ID,NG,2023,0.0
Atlantis,Atlantis,ID,NG,2024,0.0
Atlantis,Atlantis,ID,NG,2025,0.0
Atlantis,Atlantis,ID,NG,2026,0.0
Atlantis,Atlantis,ID,NG,2027,0.0
Atlantis,Atlantis,ID,NG,2028,0.0
Atlantis,Atlantis,ID,NG,2029,0.0
Atlantis,Atlantis,ID,NG,2030,0.0
Atlantis,Atlantis,ID,NG,2031,0.0
Atlantis,Atlantis,ID,NG,2032,0.0
Atlantis,Atlantis,ID,NG,2033,0.0
Atlantis,Atlantis,ID,NG,2034,0.0
Atlantis,Atlantis,ID,NG,2035,0.0
Atlantis,Atlantis,ID,NG,2036,0.0
Atlantis,Atlantis,ID,NG,2037,0.0
Atlantis,Atlantis,ID,NG,2038,0.0
Atlantis,Atlantis,ID,NG,2039,0.0
Atlantis,Atlantis,ID,NG,2040,0.0
Atlantis,Atlantis,ID,CO,2014,0.0
Atlantis,Atlantis,ID,CO,2015,0.0
Atlantis,Atlantis,ID,CO,2016,0.0
Atlantis,Atlantis,ID,CO,2017,0.0
Atlantis,Atlantis,ID,CO,2018,0.0
Atlantis,Atlantis,ID,CO,2019,0.0
Atlantis,Atlantis,ID,CO,2020,0.0
Atlantis,Atlantis,ID,CO,2021,0.0
Atlantis,Atlantis,ID,CO,2022,0.0
Atlantis,Atlantis,ID,CO,2023,0.0
Atlantis,Atlantis,ID,CO,2024,0.0
Atlantis,Atlantis,ID,CO,2025,0.0
Atlantis,Atlantis,ID,CO,2026,0.0
Atlantis,Atlantis,ID,CO,2027,0.0
Atlantis,Atlantis,ID,CO,2028,0.0
Atlantis,Atlantis,ID,CO,2029,0.0
Atlantis,Atlantis,ID,CO,2030,0.0
Atlantis,Atlantis,ID,CO,2031,0.0
Atlantis,Atlantis,ID,CO,2032,0.0
Atlantis,Atlantis,ID,CO,2033,0.0
Atlantis,Atlantis,ID,CO,2034,0.0
Atlantis,Atlantis,ID,CO,2035,0.0
Atlantis,Atlantis,ID,CO,2036,0.0
Atlantis,Atlantis,ID,CO,2037,0.0
Atlantis,Atlantis,ID,CO,2038,0.0
Atlantis,Atlantis,ID,CO,2039,0.0
Atlantis,Atlantis,ID,CO,2040,0.0
Atlantis,Atlantis,ID,UR,2014,0.0
Atlantis,Atlantis,ID,UR,2015,0.0
Atlantis,Atlantis,ID,UR,2016,0.0
Atlantis,Atlantis,ID,UR,2017,0.0
Atlantis,Atlantis,ID,UR,2018,0.0
Atlantis,Atlantis,ID,UR,2019,0.0
Atlantis,Atlantis,ID,UR,2020,0.0
Atlantis,Atlantis,ID,UR,2021,0.0
Atlantis,Atlantis,ID,UR,2022,0.0
Atlantis,Atlantis,ID,UR,2023,0.0
Atlantis,Atlantis,ID,UR,2024,0.0
Atlantis,Atlantis,ID,UR,2025,0.0
Atlantis,Atlantis,ID,UR,2026,0.0
Atlantis,Atlantis,ID,UR,2027,0.0
Atlantis,Atlantis,ID,UR,2028,0.0
Atlantis,Atlantis,ID,UR,2029,0.0
Atlantis,Atlantis,ID,UR,2030,0.0
Atlantis,Atlantis,ID,UR,2031,0.0
Atlantis,Atlantis,ID,UR,2032,0.0
Atlantis,Atlantis,ID,UR,2033,0.0
Atlantis,Atlantis,ID,UR,2034,0.0
Atlantis,Atlantis,ID,UR,2035,0.0
Atlantis,Atlantis,ID,UR,2036,0.0
Atlantis,Atlantis,ID,UR,2037,0.0
Atlantis,Atlantis,ID,UR,2038,0.0
Atlantis,Atlantis,ID,UR,2039,0.0
Atlantis,Atlantis,ID,UR,2040,0.0
Atlantis,Atlantis,ID,EL_Transmission,2014,0.0
Atlantis,Atlantis,ID,EL_Transmission,2015,0.0
Atlantis,Atlantis,ID,EL_Transmission,2016,0.0
Atlantis,Atlantis,ID,EL_Transmission,2017,0.0
Atlantis,Atlantis,ID,EL_Transmission,2018,0.0
Atlantis,Atlantis,ID,EL_Transmission,2019,0.0
Atlantis,Atlantis,ID,EL_Transmission,2020,0.0
Atlantis,Atlantis,ID,EL_Transmission,2021,0.0
Atlantis,Atlantis,ID,EL_Transmission,2022,0.0
Atlantis,Atlantis,ID,EL_Transmission,2023,0.0
Atlantis,Atlantis,ID,EL_Transmission,2024,0.0
Atlantis,Atlantis,ID,EL_Transmission,2025,0.0
Atlantis,Atlantis,ID,EL_Transmission,2026,0.0
Atlantis,Atlantis,ID,EL_Transmission,2027,0.0
Atlantis,Atlantis,ID,EL_Transmission,2028,0.0
Atlantis,Atlantis,ID,EL_Transmission,2029,0.0
Atlantis,Atlantis,ID,EL_Transmission,2030,0.0
Atlantis,Atlantis,ID,EL_Transmission,2031,0.0
Atlantis,Atlantis,ID,EL_Transmission,2032,0.0
Atlantis,Atlantis,ID,EL_Transmission,2033,0.0
Atlantis,Atlantis,ID,EL_Transmission,2034,0.0
Atlantis,Atlantis,ID,EL_Transmission,2035,0.0
Atlantis,Atlantis,ID,EL_Transmission,2036,0.0
Atlantis,Atlantis,ID,EL_Transmission,2037,0.0
Atlantis,Atlantis,ID,EL_Transmission,2038,0.0
Atlantis,Atlantis,ID,EL_Transmission,2039,0.0
Atlantis,Atlantis,ID,EL_Transmission,2040,0.0
Atlantis,Atlantis,ID,EL_Distribution,2014,0.0
Atlantis,Atlantis,ID,EL_Distribution,2015,0.0
Atlantis,Atlantis,ID,EL_Distribution,2016,0.0
Atlantis,Atlantis,ID,EL_Distribution,2017,0.0
Atlantis,Atlantis,ID,EL_Distribution,2018,0.0
Atlantis,Atlantis,ID,EL_Distribution,2019,0.0
Atlantis,Atlantis,ID,EL_Distribution,2020,0.0
Atlantis,Atlantis,ID,EL_Distribution,2021,0.0
Atlantis,Atlantis,ID,EL_Distribution,2022,0.0
Atlantis,Atlantis,ID,EL_Distribution,2023,0.0
Atlantis,Atlantis,ID,EL_Distribution,2024,0.0
Atlantis,Atlantis,ID,EL_Distribution,2025,0.0
Atlantis,Atlantis,ID,EL_Distribution,2026,0.0
Atlantis,Atlantis,ID,EL_Distribution,2027,0.0
Atlantis,Atlantis,ID,EL_Distribution,2028,0.0
Atlantis,Atlantis,ID,EL_Distribution,2029,0.0
Atlantis,Atlantis,ID,EL_Distribution,2030,0.0
Atlantis,Atlantis,ID,EL_Distribution,2031,0.0
Atlantis,Atlantis,ID,EL_Distribution,2032,0.0
Atlantis,Atlantis,ID,EL_Distribution,2033,0.0
Atlantis,Atlantis,ID,EL_Distribution,2034,0.0
Atlantis,Atlantis,ID,EL_Distribution,2035,0.0
Atlantis,Atlantis,ID,EL_Distribution,2036,0.0
Atlantis,Atlantis,ID,EL_Distribution,2037,0.0
Atlantis,Atlantis,ID,EL_Distribution,2038,0.0
Atlantis,Atlantis,ID,EL_Distribution,2039,0.0
Atlantis,Atlantis,ID,EL_Distribution,2040,0.0
Atlantis,Atlantis,ID,EL_Industry,2014,0.0
Atlantis,Atlantis,ID,EL_Industry,2015,0.0
Atlantis,Atlantis,ID,EL_Industry,2016,0.0
Atlantis,Atlantis,ID,EL_Industry,2017,0.0
Atlantis,Atlantis,ID,EL_Industry,2018,0.0
Atlantis,Atlantis,ID,EL_Industry,2019,0.0
Atlantis,Atlantis,ID,EL_Industry,2020,0.0
Atlantis,Atlantis,ID,EL_Industry,2021,0.0
Atlantis,Atlantis,ID,EL_Industry,2022,0.0
Atlantis,Atlantis,ID,EL_Industry,2023,0.0
Atlantis,Atlantis,ID,EL_Industry,2024,0.0
Atlantis,Atlantis,ID,EL_Industry,2025,0.0
Atlantis,Atlantis,ID,EL_Industry,2026,0.0
Atlantis,Atlantis,ID,EL_Industry,2027,0.0
Atlantis,Atlantis,ID,EL_Industry,2028,0.0
Atlantis,Atlantis,ID,EL_Industry,2029,0.0
Atlantis,Atlantis,ID,EL_Industry,2030,0.0
Atlantis,Atlantis,ID,EL_Industry,2031,0.0
Atlantis,Atlantis,ID,EL_Industry,2032,0.0
Atlantis,Atlantis,ID,EL_Industry,2033,0.0
Atlantis,Atlantis,ID,EL_Industry,2034,0.0
Atlantis,Atlantis,ID,EL_Industry,2035,0.0
Atlantis,Atlantis,ID,EL_Industry,2036,0.0
Atlantis,Atlantis,ID,EL_Industry,2037,0.0
Atlantis,Atlantis,ID,EL_Industry,2038,0.0
Atlantis,Atlantis,ID,EL_Industry,2039,0.0
Atlantis,Atlantis,ID,EL_Industry,2040,0.0
Atlantis,Atlantis,ID,EL_Residential,2014,0.0
Atlantis,Atlantis,ID,EL_Residential,2015,0.0
Atlantis,Atlantis,ID,EL_Residential,2016,0.0
Atlantis,Atlantis,ID,EL_Residential,2017,0.0
Atlantis,Atlantis,ID,EL_Residential,2018,0.0
Atlantis,Atlantis,ID,EL_Residential,2019,0.0
Atlantis,Atlantis,ID,EL_Residential,2020,0.0
Atlantis,Atlantis,ID,EL_Residential,2021,0.0
Atlantis,Atlantis,ID,EL_Residential,2022,0.0
Atlantis,Atlantis,ID,EL_Residential,2023,0.0
Atlantis,Atlantis,ID,EL_Residential,2024,0.0
Atlantis,Atlantis,ID,EL_Residential,2025,0.0
Atlantis,Atlantis,ID,EL_Residential,2026,0.0
Atlantis,Atlantis,ID,EL_Residential,2027,0.0
Atlantis,Atlantis,ID,EL_Residential,2028,0.0
Atlantis,Atlantis,ID,EL_Residential,2029,0.0
Atlantis,Atlantis,ID,EL_Residential,2030,0.0
Atlantis,Atlantis,ID,EL_Residential,2031,0.0
Atlantis,Atlantis,ID,EL_Residential,2032,0.0
Atlantis,Atlantis,ID,EL_Residential,2033,0.0
Atlantis,Atlantis,ID,EL_Residential,2034,0.0
Atlantis,Atlantis,ID,EL_Residential,2035,0.0
Atlantis,Atlantis,ID,EL_Residential,2036,0.0
Atlantis,Atlantis,ID,EL_Residential,2037,0.0
Atlantis,Atlantis,ID,EL_Residential,2038,0.0
Atlantis,Atlantis,ID,EL_Residential,2039,0.0
Atlantis,Atlantis,ID,EL_Residential,2040,0.0
Atlantis,Atlantis,ID,EL_Transport,2014,0.0
Atlantis,Atlantis,ID,EL_Transport,2015,0.0
Atlantis,Atlantis,ID,EL_Transport,2016,0.0
Atlantis,Atlantis,ID,EL_Transport,2017,0.0
Atlantis,Atlantis,ID,EL_Transport,2018,0.0
Atlantis,Atlantis,ID,EL_Transport,2019,0.0
Atlantis,Atlantis,ID,EL_Transport,2020,0.0
Atlantis,Atlantis,ID,EL_Transport,2021,0.0
Atlantis,Atlantis,ID,EL_Transport,2022,0.0
Atlantis,Atlantis,ID,EL_Transport,2023,0.0
Atlantis,Atlantis,ID,EL_Transport,2024,0.0
Atlantis,Atlantis,ID,EL_Transport,2025,0.0
Atlantis,Atlantis,ID,EL_Transport,2026,0.0
Atlantis,Atlantis,ID,EL_Transport,2027,0.0
Atlantis,Atlantis,ID,EL_Transport,2028,0.0
Atlantis,Atlantis,ID,EL_Transport,2029,0.0
Atlantis,Atlantis,ID,EL_Transport,2030,0.0
Atlantis,Atlantis,ID,EL_Transport,2031,0.0
Atlantis,Atlantis,ID,EL_Transport,2032,0.0
Atlantis,Atlantis,ID,EL_Transport,2033,0.0
Atlantis,Atlantis,ID,EL_Transport,2034,0.0
Atlantis,Atlantis,ID,EL_Transport,2035,0.0
Atlantis,Atlantis,ID,EL_Transport,2036,0.0
Atlantis,Atlantis,ID,EL_Transport,2037,0.0
Atlantis,Atlantis,ID,EL_Transport,2038,0.0
Atlantis,Atlantis,ID,EL_Transport,2039,0.0
Atlantis,Atlantis,ID,EL_Transport,2040,0.0
Atlantis,Atlantis,ID,EL_Services,2014,0.0
Atlantis,Atlantis,ID,EL_Services,2015,0.0
Atlantis,Atlantis,ID,EL_Services,2016,0.0
Atlantis,Atlantis,ID,EL_Services,2017,0.0
Atlantis,Atlantis,ID,EL_Services,2018,0.0
Atlantis,Atlantis,ID,EL_Services,2019,0.0
Atlantis,Atlantis,ID,EL_Services,2020,0.0
Atlantis,Atlantis,ID,EL_Services,2021,0.0
Atlantis,Atlantis,ID,EL_Services,2022,0.0
Atlantis,Atlantis,ID,EL_Services,2023,0.0
Atlantis,Atlantis,ID,EL_Services,2024,0.0
Atlantis,Atlantis,ID,EL_Services,2025,0.0
Atlantis,Atlantis,ID,EL_Services,2026,0.0
Atlantis,Atlantis,ID,EL_Services,2027,0.0
Atlantis,Atlantis,ID,EL_Services,2028,0.0
Atlantis,Atlantis,ID,EL_Services,2029,0.0
Atlantis,Atlantis,ID,EL_Services,2030,0.0
Atlantis,Atlantis,ID,EL_Services,2031,0.0
Atlantis,Atlantis,ID,EL_Services,2032,0.0
Atlantis,Atlantis,ID,EL_Services,2033,0.0
Atlantis,Atlantis,ID,EL_Services,2034,0.0
Atlantis,Atlantis,ID,EL_Services,2035,0.0
Atlantis,Atlantis,ID,EL_Services,2036,0.0
Atlantis,Atlantis,ID,EL_Services,2037,0.0
Atlantis,Atlantis,ID,EL_Services,2038,0.0
Atlantis,Atlantis,ID,EL_Services,2039,0.0
Atlantis,Atlantis,ID,EL_Services,2040,0.0
Atlantis,Atlantis,IN,HF,2014,0.0
Atlantis,Atlantis,IN,HF,2015,0.0
Atlantis,Atlantis,IN,HF,2016,0.0
Atlantis,Atlantis,IN,HF,2017,0.0
Atlantis,Atlantis,IN,HF,2018,0.0
Atlantis,Atlantis,IN,HF,2019,0.0
Atlantis,Atlantis,IN,HF,2020,0.0
Atlantis,Atlantis,IN,HF,2021,0.0
Atlantis,Atlantis,IN,HF,2022,0.0
Atlantis,Atlantis,IN,HF,2023,0.0
Atlantis,Atlantis,IN,HF,2024,0.0
Atlantis,Atlantis,IN,HF,2025,0.0
Atlantis,Atlantis,IN,HF,2026,0.0
Atlantis,Atlantis,IN,HF,2027,0.0
Atlantis,Atlantis,IN,HF,2028,0.0
Atlantis,Atlantis,IN,HF,2029,0.0
Atlantis,Atlantis,IN,HF,2030,0.0
Atlantis,Atlantis,IN,HF,2031,0.0
Atlantis,Atlantis,IN,HF,2032,0.0
Atlantis,Atlantis,IN,HF,2033,0.0
Atlantis,Atlantis,IN,HF,2034,0.0
Atlantis,Atlantis,IN,HF,2035,0.0
Atlantis,Atlantis,IN,HF,2036,0.0
Atlantis,Atlantis,IN,HF,2037,0.0
Atlantis,Atlantis,IN,HF,2038,0.0
Atlantis,Atlantis,IN,HF,2039,0.0
Atlantis,Atlantis,IN,HF,2040,0.0
Atlantis,Atlantis,IN,DS,2014,0.0
Atlantis,Atlantis,IN,DS,2015,0.0
Atlantis,Atlantis,IN,DS,2016,0.0
Atlantis,Atlantis,IN,DS,2017,0.0
Atlantis,Atlantis,IN,DS,2018,0.0
Atlantis,Atlantis,IN,DS,2019,0.0
Atlantis,Atlantis,IN,DS,2020,0.0
Atlantis,Atlantis,IN,DS,2021,0.0
Atlantis,Atlantis,IN,DS,2022,0.0
Atlantis,Atlantis,IN,DS,2023,0.0
Atlantis,Atlantis,IN,DS,2024,0.0
Atlantis,Atlantis,IN,DS,2025,0.0
Atlantis,Atlantis,IN,DS,2026,0.0
Atlantis,Atlantis,IN,DS,2027,0.0
Atlantis,Atlantis,IN,DS,2028,0.0
Atlantis,Atlantis,IN,DS,2029,0.0
Atlantis,Atlantis,IN,DS,2030,0.0
Atlantis,Atlantis,IN,DS,2031,0.0
Atlantis,Atlantis,IN,DS,2032,0.0
Atlantis,Atlantis,IN,DS,2033,0.0
Atlantis,Atlantis,IN,DS,2034,0.0
Atlantis,Atlantis,IN,DS,2035,0.0
Atlantis,Atlantis,IN,DS,2036,0.0
Atlantis,Atlantis,IN,DS,2037,0.0
Atlantis,Atlantis,IN,DS,2038,0.0
Atlantis,Atlantis,IN,DS,2039,0.0
Atlantis,Atlantis,IN,DS,2040,0.0
Atlantis,Atlantis,IN,NG,2014,0.0
Atlantis,Atlantis,IN,NG,2015,0.0
Atlantis,Atlantis,IN,NG,2016,0.0
Atlantis,Atlantis,IN,NG,2017,0.0
Atlantis,Atlantis,IN,NG,2018,0.0
Atlantis,Atlantis,IN,NG,2019,0.0
Atlantis,Atlantis,IN,NG,2020,0.0
Atlantis,Atlantis,IN,NG,2021,0.0
Atlantis,Atlantis,IN,NG,2022,0.0
Atlantis,Atlantis,IN,NG,2023,0.0
Atlantis,Atlantis,IN,NG,2024,0.0
Atlantis,Atlantis,IN,NG,2025,0.0
Atlantis,Atlantis,IN,NG,2026,0.0
Atlantis,Atlantis,IN,NG,2027,0.0
Atlantis,Atlantis,IN,NG,2028,0.0
Atlantis,Atlantis,IN,NG,2029,0.0
Atlantis,Atlantis,IN,NG,2030,0.0
Atlantis,Atlantis,IN,NG,2031,0.0
Atlantis,Atlantis,IN,NG,2032,0.0
Atlantis,Atlantis,IN,NG,2033,0.0
Atlantis,Atlantis,IN,NG,2034,0.0
Atlantis,Atlantis,IN,NG,2035,0.0
Atlantis,Atlantis,IN,NG,2036,0.0
Atlantis,Atlantis,IN,NG,2037,0.0
Atlantis,Atlantis,IN,NG,2038,0.0
Atlantis,Atlantis,IN,NG,2039,0.0
Atlantis,Atlantis,IN,NG,2040,0.0
Atlantis,Atlantis,IN,CO,2014,0.0
Atlantis,Atlantis,IN,CO,2015,0.0
Atlantis,Atlantis,IN,CO,2016,0.0
Atlantis,Atlantis,IN,CO,2017,0.0
Atlantis,Atlantis,IN,CO,2018,0.0
Atlantis,Atlantis,IN,CO,2019,0.0
Atlantis,Atlantis,IN,CO,2020,0.0
Atlantis,Atlantis,IN,CO,2021,0.0
Atlantis,Atlantis,IN,CO,2022,0.0
Atlantis,Atlantis,IN,CO,2023,0.0
Atlantis,Atlantis,IN,CO,2024,0.0
Atlantis,Atlantis,IN,CO,2025,0.0
Atlantis,Atlantis,IN,CO,2026,0.0
Atlantis,Atlantis,IN,CO,2027,0.0
Atlantis,Atlantis,IN,CO,2028,0.0
Atlantis,Atlantis,IN,CO,2029,0.0
Atlantis,Atlantis,IN,CO,2030,0.0
Atlantis,Atlantis,IN,CO,2031,0.0
Atlantis,Atlantis,IN,CO,2032,0.0
Atlantis,Atlantis,IN,CO,2033,0.0
Atlantis,Atlantis,IN,CO,2034,0.0
Atlantis,Atlantis,IN,CO,2035,0.0
Atlantis,Atlantis,IN,CO,2036,0.0
Atlantis,Atlantis,IN,CO,2037,0.0
Atlantis,Atlantis,IN,CO,2038,0.0
Atlantis,Atlantis,IN,CO,2039,0.0
Atlantis,Atlantis,IN,CO,2040,0.0
Atlantis,Atlantis,IN,UR,2014,0.0
Atlantis,Atlantis,IN,UR,2015,0.0
Atlantis,Atlantis,IN,UR,2016,0.0
Atlantis,Atlantis,IN,UR,2017,0.0
Atlantis,Atlantis,IN,UR,2018,0.0
Atlantis,Atlantis,IN,UR,2019,0.0
Atlantis,Atlantis,IN,UR,2020,0.0
Atlantis,Atlantis,IN,UR,2021,0.0
Atlantis,Atlantis,IN,UR,2022,0.0
Atlantis,Atlantis,IN,UR,2023,0.0
Atlantis,Atlantis,IN,UR,2024,0.0
Atlantis,Atlantis,IN,UR,2025,0.0
Atlantis,Atlantis,IN,UR,2026,0.0
Atlantis,Atlantis,IN,UR,2027,0.0
Atlantis,Atlantis,IN,UR,2028,0.0
Atlantis,Atlantis,IN,UR,2029,0.0
Atlantis,Atlantis,IN,UR,2030,0.0
Atlantis,Atlantis,IN,UR,2031,0.0
Atlantis,Atlantis,IN,UR,2032,0.0
Atlantis,Atlantis,IN,UR,2033,0.0
Atlantis,Atlantis,IN,UR,2034,0.0
Atlantis,Atlantis,IN,UR,2035,0.0
Atlantis,Atlantis,IN,UR,2036,0.0
Atlantis,Atlantis,IN,UR,2037,0.0
Atlantis,Atlantis,IN,UR,2038,0.0
Atlantis,Atlantis,IN,UR,2039,0.0
Atlantis,Atlantis,IN,UR,2040,0.0
Atlantis,Atlantis,IN,EL_Transmission,2014,0.0
Atlantis,Atlantis,IN,EL_Transmission,2015,0.0
Atlantis,Atlantis,IN,EL_Transmission,2016,0.0
Atlantis,Atlantis,IN,EL_Transmission,2017,0.0
Atlantis,Atlantis,IN,EL_Transmission,2018,0.0
Atlantis,Atlantis,IN,EL_Transmission,2019,0.0
Atlantis,Atlantis,IN,EL_Transmission,2020,0.0
Atlantis,Atlantis,IN,EL_Transmission,2021,0.0
Atlantis,Atlantis,IN,EL_Transmission,2022,0.0
Atlantis,Atlantis,IN,EL_Transmission,2023,0.0
Atlantis,Atlantis,IN,EL_Transmission,2024,0.0
Atlantis,Atlantis,IN,EL_Transmission,2025,0.0
Atlantis,Atlantis,IN,EL_Transmission,2026,0.0
Atlantis,Atlantis,IN,EL_Transmission,2027,0.0
Atlantis,Atlantis,IN,EL_Transmission,2028,0.0
Atlantis,Atlantis,IN,EL_Transmission,2029,0.0
Atlantis,Atlantis,IN,EL_Transmission,2030,0.0
Atlantis,Atlantis,IN,EL_Transmission,2031,0.0
Atlantis,Atlantis,IN,EL_Transmission,2032,0.0
Atlantis,Atlantis,IN,EL_Transmission,2033,0.0
Atlantis,Atlantis,IN,EL_Transmission,2034,0.0
Atlantis,Atlantis,IN,EL_Transmission,2035,0.0
Atlantis,Atlantis,IN,EL_Transmission,2036,0.0
Atlantis,Atlantis,IN,EL_Transmission,2037,0.0
Atlantis,Atlantis,IN,EL_Transmission,2038,0.0
Atlantis,Atlantis,IN,EL_Transmission,2039,0.0
Atlantis,Atlantis,IN,EL_Transmission,2040,0.0
Atlantis,Atlantis,IN,EL_Distribution,2014,0.0
Atlantis,Atlantis,IN,EL_Distribution,2015,0.0
Atlantis,Atlantis,IN,EL_Distribution,2016,0.0
Atlantis,Atlantis,IN,EL_Distribution,2017,0.0
Atlantis,Atlantis,IN,EL_Distribution,2018,0.0
Atlantis,Atlantis,IN,EL_Distribution,2019,0.0
Atlantis,Atlantis,IN,EL_Distribution,2020,0.0
Atlantis,Atlantis,IN,EL_Distribution,2021,0.0
Atlantis,Atlantis,IN,EL_Distribution,2022,0.0
Atlantis,Atlantis,IN,EL_Distribution,2023,0.0
Atlantis,Atlantis,IN,EL_Distribution,2024,0.0
Atlantis,Atlantis,IN,EL_Distribution,2025,0.0
Atlantis,Atlantis,IN,EL_Distribution,2026,0.0
Atlantis,Atlantis,IN,EL_Distribution,2027,0.0
Atlantis,Atlantis,IN,EL_Distribution,2028,0.0
Atlantis,Atlantis,IN,EL_Distribution,2029,0.0
Atlantis,Atlantis,IN,EL_Distribution,2030,0.0
Atlantis,Atlantis,IN,EL_Distribution,2031,0.0
Atlantis,Atlantis,IN,EL_Distribution,2032,0.0
Atlantis,Atlantis,IN,EL_Distribution,2033,0.0
Atlantis,Atlantis,IN,EL_Distribution,2034,0.0
Atlantis,Atlantis,IN,EL_Distribution,2035,0.0
Atlantis,Atlantis,IN,EL_Distribution,2036,0.0
Atlantis,Atlantis,IN,EL_Distribution,2037,0.0
Atlantis,Atlantis,IN,EL_Distribution,2038,0.0
Atlantis,Atlantis,IN,EL_Distribution,2039,0.0
Atlantis,Atlantis,IN,EL_Distribution,2040,0.0
Atlantis,Atlantis,IN,EL_Industry,2014,0.0
Atlantis,Atlantis,IN,EL_Industry,2015,0.0
Atlantis,Atlantis,IN,EL_Industry,2016,0.0
Atlantis,Atlantis,IN,EL_Industry,2017,0.0
Atlantis,Atlantis,IN,EL_Industry,2018,0.0
Atlantis,Atlantis,IN,EL_Industry,2019,0.0
Atlantis,Atlantis,IN,EL_Industry,2020,0.0
Atlantis,Atlantis,IN,EL_Industry,2021,0.0
Atlantis,Atlantis,IN,EL_Industry,2022,0.0
Atlantis,Atlantis,IN,EL_Industry,2023,0.0
Atlantis,Atlantis,IN,EL_Industry,2024,0.0
Atlantis,Atlantis,IN,EL_Industry,2025,0.0
Atlantis,Atlantis,IN,EL_Industry,2026,0.0
Atlantis,Atlantis,IN,EL_Industry,2027,0.0
Atlantis,Atlantis,IN,EL_Industry,2028,0.0
Atlantis,Atlantis,IN,EL_Industry,2029,0.0
Atlantis,Atlantis,IN,EL_Industry,2030,0.0
Atlantis,Atlantis,IN,EL_Industry,2031,0.0
Atlantis,Atlantis,IN,EL_Industry,2032,0.0
Atlantis,Atlantis,IN,EL_Industry,2033,0.0
Atlantis,Atlantis,IN,EL_Industry,2034,0.0
Atlantis,Atlantis,IN,EL_Industry,2035,0.0
Atlantis,Atlantis,IN,EL_Industry,2036,0.0
Atlantis,Atlantis,IN,EL_Industry,2037,0.0
Atlantis,Atlantis,IN,EL_Industry,2038,0.0
Atlantis,Atlantis,IN,EL_Industry,2039,0.0
Atlantis,Atlantis,IN,EL_Industry,2040,0.0
Atlantis,Atlantis,IN,EL_Residential,2014,0.0
Atlantis,Atlantis,IN,EL_Residential,2015,0.0
