REGION,FUEL,YEAR,value
Atlantis,EL_Residential,2015,0.0
Atlantis,EL_Residential,2016,0.0
Atlantis,EL_Residential,2017,0.0
Atlantis,EL_Residential,2018,0.0
Atlantis,EL_Residential,2019,0.0
Atlantis,EL_Residential,2020,0.0
Atlantis,EL_Residential,2021,0.0
Atlantis,EL_Residential,2022,0.0
Atlantis,EL_Residential,2023,0.0
Atlantis,EL_Residential,2024,0.0
Atlantis,EL_Residential,2025,0.0
Atlantis,EL_Residential,2026,0.0
Atlantis,EL_Residential,2027,0.0
Atlantis,EL_Residential,2028,0.0
Atlantis,EL_Residential,2029,0.0
Atlantis,EL_Residential,2030,0.0
Atlantis,EL_Residential,2031,0.0
Atlantis,EL_Residential,2032,0.0
Atlantis,EL_Residential,2033,0.0
Atlantis,EL_Residential,2034,0.0
Atlantis,EL_Residential,2035,0.0
Atlantis,EL_Residential,2036,0.0
Atlantis,EL_Residential,2037,0.0
Atlantis,EL_Residential,2038,0.0
Atlantis,EL_Residential,2039,0.0
Atlantis,EL_Residential,2040,0.0
Atlantis,EL_Transport,2014,0.0
Atlantis,EL_Transport,2015,0.0
Atlantis,EL_Transport,2016,0.0
Atlantis,EL_Transport,2017,0.0
Atlantis,EL_Transport,2018,0.0
Atlantis,EL_Transport,2019,0.0
Atlantis,EL_Transport,2020,0.0
Atlantis,EL_Transport,2021,0.0
Atlantis,EL_Transport,2022,0.0
Atlantis,EL_Transport,2023,0.0
Atlantis,EL_Transport,2024,0.0
Atlantis,EL_Transport,2025,0.0
Atlantis,EL_Transport,2026,0.0
Atlantis,EL_Transport,2027,0.0
Atlantis,EL_Transport,2028,0.0
Atlantis,EL_Transport,2029,0.0
Atlantis,EL_Transport,2030,0.0
Atlantis,EL_Transport,2031,0.0
Atlantis,EL_Transport,2032,0.0
Atlantis,EL_Transport,2033,0.0
Atlantis,EL_Transport,2034,0.0
Atlantis,EL_Transport,2035,0.0
Atlantis,EL_Transport,2036,0.0
Atlantis,EL_Transport,2037,0.0
Atlantis,EL_Transport,2038,0.0
Atlantis,EL_Transport,2039,0.0
Atlantis,EL_Transport,2040,0.0
Atlantis,EL_Services,2014,0.0
Atlantis,EL_Services,2015,0.0
Atlantis,EL_Services,2016,0.0
Atlantis,EL_Services,2017,0.0
Atlantis,EL_Services,2018,0.0
Atlantis,EL_Services,2019,0.0
Atlantis,EL_Services,2020,0.0
Atlantis,EL_Services,2021,0.0
Atlantis,EL_Services,2022,0.0
Atlantis,EL_Services,2023,0.0
Atlantis,EL_Services,2024,0.0
Atlantis,EL_Services,2025,0.0
Atlantis,EL_Services,2026,0.0
Atlantis,EL_Services,2027,0.0
Atlantis,EL_Services,2028,0.0
Atlantis,EL_Services,2029,0.0
Atlantis,EL_Services,2030,0.0
Atlantis,EL_Services,2031,0.0
Atlantis,EL_Services,2032,0.0
Atlantis,EL_Services,2033,0.0
Atlantis,EL_Services,2034,0.0
Atlantis,EL_Services,2035,0.0
Atlantis,EL_Services,2036,0.0
Atlantis,EL_Services,2037,0.0
Atlantis,EL_Services,2038,0.0
Atlantis,EL_Services,2039,0.0
Atlantis,EL_Services,2040,0.0
